name,need
Tree Normals,Multivariate Normals
Tree Normals,Tree Densities
Multivariate Normals,Matrix Determinants
Multivariate Normals,Matrix Transpose
Multivariate Normals,Multivariate Real Densities
Multivariate Normals,Normal Densities
Multivariate Normals,Real Matrix Inverses
Multivariate Normals,Real Positive Semidefinite Matrices
Tree Densities,Rooted Tree Densities
Matrix Determinants,Permutations
Matrix Determinants,Real Matrices
Matrix Determinants,Real Matrix Determinants
Matrix Transpose,Vectors as Matrices
Multivariate Real Densities,N-Dimensional Space
Multivariate Real Densities,Probability Densities
Normal Densities,Exponential Function
Normal Densities,Probability Densities
Normal Densities,Real Square Roots
Real Matrix Inverses,Inverse Elements
Real Matrix Inverses,Real Matrix-Matrix Products
Real Positive Semidefinite Matrices,Quadratic Forms
Real Positive Semidefinite Matrices,Symmetric Real Matrices
Rooted Tree Densities,Conditional Densities
Rooted Tree Densities,Rooted Tree Distributions
Permutations,Groups
Permutations,Set Numbers
Real Matrices,Arrays
Real Matrices,Real Linear Equations
Real Matrices,Real Vectors
Real Matrix Determinants,Permutations
Real Matrix Determinants,Real Matrices
Vectors as Matrices,Real Inner Product
Vectors as Matrices,Real Matrices
Vectors as Matrices,Real Norm
Vectors as Matrices,Real Vectors
N-Dimensional Space,Distance
Probability Densities,Outcome Probabilities
Probability Densities,Real Integrals
Exponential Function,Real Functions
Real Square Roots,Natural Square Roots
Real Square Roots,Real Squares
Inverse Elements,Element Functions
Inverse Elements,Function Inverses
Real Matrix-Matrix Products,Real Matrix-Vector Products
Quadratic Forms,Matrix Trace
Quadratic Forms,Multivariate Real Polynomials
Quadratic Forms,Real Matrix-Matrix Products
Quadratic Forms,Real Vectors
Symmetric Real Matrices,Vectors as Matrices
Conditional Densities,Conditional Distributions
Conditional Densities,Marginal Densities
Rooted Tree Distributions,Conditional Distributions
Rooted Tree Distributions,Rooted Trees
Groups,Finite Sets
Groups,Rings
Set Numbers,Finite Sets
Arrays,Lists
Real Linear Equations,Arrays
Real Linear Equations,Linear Functions
